"poll","iso","sector","fuel","units","year","value","country"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Heavy oil","ktNO2",2022,0.495462617713247,"South Africa"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Light oil","ktNO2",2022,1.67083163467578,"South Africa"
"NOx","zaf","1a4c agriculture forestry fishing [1A4c]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Biomass","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Brown coal","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Coal coke","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Diesel oil","ktNO2",2022,2.19494957529816,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Hard coal","ktNO2",2022,0.350718661700491,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Heavy oil","ktNO2",2022,0,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Light oil","ktNO2",2022,0.0576485684282816,"South Africa"
"NOx","zaf","1a5 other unspecified [1A5]","Natural gas","ktNO2",2022,0,"South Africa"
"NOx","zaf","1b1 fugitive solid fuels [1B1]","Process","ktNO2",2022,0.442313794603623,"South Africa"
"NOx","zaf","1b2 fugitive petr [1B2]","Process","ktNO2",2022,0.0337134,"South Africa"
"NOx","zaf","1b2b fugitive ng distr [1B2b]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","1b2b fugitive ng prod [1B2b]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","1b2d fugitive other energy [1B2d]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2a1 cement production [2A1]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2a2 lime production [2A2]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2ax other minerals [2Ax]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2b chemical industry [2B]","Process","ktNO2",2022,0.586768898602244,"South Africa"
"NOx","zaf","2b2 chemicals nitric acid [2B2]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2b3 chemicals adipic acid [2B3]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2c1 iron steel alloy prod [2C1]","Process","ktNO2",2022,2.1427188125,"South Africa"
"NOx","zaf","2c3 aluminum production [2C3]","Process","ktNO2",2022,0.714,"South Africa"
"NOx","zaf","2c4 non ferrous other metals [2C4]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2d chemical products manufacture processing [2D]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2d degreasing cleaning [2D]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2d other product use [2D]","Process","ktNO2",2022,0,"South Africa"
"NOx","zaf","2d paint application [2D]","Process","ktNO2",2022,0,"South Africa"
